INFO    2022-10-27 05:54:33,319 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:54:38,317 [http-nio-8090-exec-4] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:54:38,586 [http-nio-8090-exec-4] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA NO ENCONTRADA
INFO    2022-10-27 05:54:44,347 [http-nio-8090-exec-6] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:54:44,612 [http-nio-8090-exec-6] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:55:46,216 [http-nio-8090-exec-9] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 05:55:46,480 [http-nio-8090-exec-9] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 05:56:42,805 [http-nio-8090-exec-10] com.api.booking.domain.service.impl.CategoriaServiceImpl  - LISTANDO TODAS LAS CATEGORIAS METODO - readAllCategoria
INFO    2022-10-27 05:56:43,241 [http-nio-8090-exec-10] com.api.booking.domain.service.impl.CategoriaServiceImpl  - LISTA DE CATEGORIAS
INFO    2022-10-27 06:03:38,102 [http-nio-8090-exec-2] com.api.booking.domain.service.impl.CategoriaServiceImpl  - GUARDANDO CATEGORIA METODO - createCategoria
INFO    2022-10-27 06:04:54,817 [http-nio-8090-exec-6] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 06:04:55,083 [http-nio-8090-exec-6] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 06:06:19,241 [http-nio-8090-exec-9] com.api.booking.domain.service.impl.CategoriaServiceImpl  - ACTUALIZANDO CATEGORIA METODO - updateCategoria
INFO    2022-10-27 06:07:25,263 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - ACTUALIZANDO CATEGORIA METODO - updateCategoria
INFO    2022-10-27 06:09:23,167 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 06:09:45,461 [http-nio-8090-exec-1] com.api.booking.domain.service.impl.CategoriaServiceImpl  - LISTANDO TODAS LAS CATEGORIAS METODO - readAllCategoria
INFO    2022-10-27 06:09:45,939 [http-nio-8090-exec-1] com.api.booking.domain.service.impl.CategoriaServiceImpl  - LISTA DE CATEGORIAS
INFO    2022-10-27 06:09:49,902 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 06:09:50,170 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA NO ENCONTRADA
INFO    2022-10-27 06:09:58,616 [http-nio-8090-exec-5] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 06:09:58,914 [http-nio-8090-exec-5] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 06:10:08,195 [http-nio-8090-exec-6] com.api.booking.domain.service.impl.CategoriaServiceImpl  - GUARDANDO CATEGORIA METODO - createCategoria
INFO    2022-10-27 06:10:12,741 [http-nio-8090-exec-7] com.api.booking.domain.service.impl.CategoriaServiceImpl  - LISTANDO TODAS LAS CATEGORIAS METODO - readAllCategoria
INFO    2022-10-27 06:10:13,201 [http-nio-8090-exec-7] com.api.booking.domain.service.impl.CategoriaServiceImpl  - LISTA DE CATEGORIAS
INFO    2022-10-27 06:10:42,675 [http-nio-8090-exec-8] com.api.booking.domain.service.impl.CategoriaServiceImpl  - ACTUALIZANDO CATEGORIA METODO - updateCategoria
INFO    2022-10-27 06:11:42,486 [http-nio-8090-exec-9] com.api.booking.domain.service.impl.CategoriaServiceImpl  - ACTUALIZANDO CATEGORIA METODO - updateCategoria
INFO    2022-10-27 06:11:52,206 [http-nio-8090-exec-10] com.api.booking.domain.service.impl.CategoriaServiceImpl  - ACTUALIZANDO CATEGORIA METODO - updateCategoria
INFO    2022-10-27 06:13:02,510 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 06:13:23,874 [http-nio-8090-exec-1] com.api.booking.domain.service.impl.CategoriaServiceImpl  - GUARDANDO CATEGORIA METODO - createCategoria
INFO    2022-10-27 06:13:40,411 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - ACTUALIZANDO CATEGORIA METODO - updateCategoria
INFO    2022-10-27 06:15:52,090 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 06:16:10,118 [http-nio-8090-exec-2] com.api.booking.domain.service.impl.CategoriaServiceImpl  - GUARDANDO CATEGORIA METODO - createCategoria
INFO    2022-10-27 06:16:26,666 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - ACTUALIZANDO CATEGORIA METODO - updateCategoria
INFO    2022-10-27 06:22:56,301 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 06:25:22,133 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 06:25:37,648 [http-nio-8090-exec-2] com.api.booking.domain.service.impl.CategoriaServiceImpl  - GUARDANDO CATEGORIA METODO - createCategoria
INFO    2022-10-27 06:25:50,517 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - ACTUALIZANDO CATEGORIA METODO - updateCategoria
INFO    2022-10-27 06:28:30,639 [http-nio-8090-exec-6] com.api.booking.domain.service.impl.CategoriaServiceImpl  - ELIMINANDO CATEGORIA METODO - deleteCategoriaById
INFO    2022-10-27 07:53:24,887 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 07:53:40,762 [http-nio-8090-exec-2] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 07:53:41,188 [http-nio-8090-exec-2] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-10-27 07:53:44,860 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - LISTANDO TODAS LAS CATEGORIAS METODO - readAllCategoria
INFO    2022-10-27 07:53:45,298 [http-nio-8090-exec-3] com.api.booking.domain.service.impl.CategoriaServiceImpl  - LISTA DE CATEGORIAS
INFO    2022-10-27 07:53:49,279 [http-nio-8090-exec-4] com.api.booking.domain.service.impl.CategoriaServiceImpl  - GUARDANDO CATEGORIA METODO - createCategoria
INFO    2022-10-27 07:54:03,844 [http-nio-8090-exec-5] com.api.booking.domain.service.impl.CategoriaServiceImpl  - ACTUALIZANDO CATEGORIA METODO - updateCategoria
INFO    2022-10-27 07:54:19,125 [http-nio-8090-exec-6] com.api.booking.domain.service.impl.CategoriaServiceImpl  - ELIMINANDO CATEGORIA METODO - deleteCategoriaById
INFO    2022-10-27 09:24:38,417 [restartedMain] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-10-27 09:24:58,134 [http-nio-8090-exec-1] com.api.booking.domain.service.impl.CategoriaServiceImpl  - BUSCANDO CATEGORIA POR TITULO METODO - findByTitulo
INFO    2022-10-27 09:24:58,672 [http-nio-8090-exec-1] com.api.booking.domain.service.impl.CategoriaServiceImpl  - CATEGORIA ENCONTRADA
INFO    2022-11-03 08:55:53,373 [Test worker] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-11-03 08:56:19,656 [Test worker] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
INFO    2022-11-03 09:00:33,304 [Test worker] com.api.booking.domain.service.impl.CategoriaServiceImpl  - INSERTANDO CATEGORIAS
